time,actual_x,actual_y,plan_x,plan_y,error_m
2026-03-19 15:27:03.805,15.537,24.287,15.537,24.287,0.001
2026-03-19 15:27:04.829,15.808,24.366,15.809,24.363,0.003
2026-03-19 15:27:05.830,16.103,24.346,16.077,24.438,0.095
2026-03-19 15:27:06.930,16.373,24.24,16.35,24.218,0.031
2026-03-19 15:27:08.029,16.621,24.082,16.546,24.011,0.103
2026-03-19 15:27:09.030,16.854,23.884,16.755,23.79,0.137
2026-03-19 15:27:10.129,17.06,23.67,16.959,23.575,0.138
2026-03-19 15:27:11.229,17.276,23.418,17.187,23.334,0.122
2026-03-19 15:27:12.230,17.493,23.149,17.424,23.084,0.095
2026-03-19 15:27:13.230,17.782,22.785,17.742,22.748,0.055
2026-03-19 15:27:14.329,17.879,22.671,17.845,22.639,0.046
2026-03-19 15:27:15.329,18.166,22.326,18.153,22.314,0.017
2026-03-19 15:27:16.429,18.365,22.102,18.36,22.096,0.008
2026-03-19 15:27:17.429,18.564,21.877,18.566,21.878,0.003
2026-03-19 15:27:18.530,18.769,21.658,18.772,21.661,0.004
2026-03-19 15:27:19.530,18.971,21.437,18.978,21.444,0.009
2026-03-19 15:27:20.630,19.18,21.222,19.184,21.226,0.005
2026-03-19 15:27:21.730,19.383,21.002,19.39,21.009,0.01
2026-03-19 15:27:22.829,19.662,20.656,19.695,20.687,0.045
2026-03-19 15:27:23.930,19.777,20.376,19.732,20.376,0.044
2026-03-19 15:27:25.030,19.843,20.087,19.737,20.085,0.106
2026-03-19 15:27:26.030,19.874,19.787,19.742,19.784,0.132
2026-03-19 15:27:27.129,19.883,19.487,19.747,19.485,0.136
2026-03-19 15:27:28.129,19.871,19.134,19.753,19.132,0.119
2026-03-19 15:27:29.230,19.855,18.775,19.759,18.774,0.096
2026-03-19 15:27:30.330,19.827,18.27,19.767,18.269,0.06
2026-03-19 15:27:31.429,19.807,17.969,19.772,17.969,0.036
2026-03-19 15:27:32.429,19.802,17.668,19.777,17.667,0.025
2026-03-19 15:27:33.529,19.79,17.369,19.781,17.369,0.009
2026-03-19 15:27:34.629,19.792,17.068,19.786,17.068,0.005
2026-03-19 15:27:35.734,19.79,16.619,19.794,16.619,0.004
2026-03-19 15:27:36.830,19.793,16.322,19.798,16.322,0.006
2026-03-19 15:27:37.929,19.796,16.021,19.803,16.021,0.007
2026-03-19 15:27:39.029,19.803,15.722,19.808,15.723,0.006
2026-03-19 15:27:40.029,19.806,15.423,19.813,15.423,0.007
2026-03-19 15:27:41.130,19.812,15.124,19.818,15.124,0.006
2026-03-19 15:27:42.229,19.818,14.827,19.823,14.827,0.005
2026-03-19 15:27:43.329,19.7,14.407,19.828,14.502,0.159
2026-03-19 15:27:44.330,19.504,14.18,19.438,14.356,0.187
2026-03-19 15:27:45.429,19.25,14.02,19.163,14.253,0.249
2026-03-19 15:27:46.430,18.975,13.902,18.883,14.148,0.262
2026-03-19 15:27:47.530,18.685,13.818,18.601,14.042,0.239
2026-03-19 15:27:48.530,18.388,13.748,18.318,13.936,0.2
2026-03-19 15:27:49.530,18.075,13.685,18.023,13.825,0.149
2026-03-19 15:27:50.630,17.783,13.626,17.747,13.722,0.102
2026-03-19 15:27:51.730,17.49,13.558,17.468,13.617,0.063
2026-03-19 15:27:52.830,17.05,13.481,17.057,13.463,0.02
2026-03-19 15:27:53.830,16.748,13.484,16.756,13.519,0.036
2026-03-19 15:27:54.931,16.454,13.518,16.472,13.59,0.074
2026-03-19 15:27:56.029,16.146,13.582,16.167,13.665,0.085
2026-03-19 15:27:57.129,15.775,13.684,15.793,13.758,0.076
2026-03-19 15:27:58.130,15.427,13.794,15.439,13.845,0.053
2026-03-19 15:27:59.229,15.109,13.887,15.118,13.924,0.038
2026-03-19 15:28:00.230,14.82,13.974,14.825,13.997,0.023
2026-03-19 15:28:01.329,14.385,14.095,14.387,14.105,0.011
2026-03-19 15:28:02.329,14.097,14.176,14.097,14.177,0.001
2026-03-19 15:28:03.429,13.805,14.249,13.805,14.249,0.0
2026-03-19 15:28:04.529,13.517,14.327,13.516,14.321,0.006
2026-03-19 15:28:05.530,13.225,14.396,13.224,14.393,0.003
2026-03-19 15:28:06.530,12.936,14.473,12.934,14.465,0.008

Avg error: 0.063m | Max error: 0.262m
