time,actual_x,actual_y,plan_x,plan_y,error_m
2026-03-19 16:18:29.747,17.584,3.601,17.584,3.601,0.0
2026-03-19 16:18:30.829,17.595,3.424,17.584,3.601,0.177
2026-03-19 16:18:31.929,17.699,3.171,17.584,3.601,0.445
2026-03-19 16:18:32.929,17.963,3.061,17.584,3.601,0.66
2026-03-19 16:18:33.930,18.231,3.157,17.584,3.601,0.784
2026-03-19 16:18:35.029,18.395,3.392,17.584,3.601,0.838
2026-03-19 16:18:36.029,18.433,3.683,17.582,3.635,0.852
2026-03-19 16:18:37.130,18.323,4.114,17.557,4.071,0.767
2026-03-19 16:18:38.230,18.187,4.379,17.542,4.343,0.645
2026-03-19 16:18:39.230,18.032,4.639,17.527,4.611,0.506
2026-03-19 16:18:40.329,17.826,4.991,17.507,4.973,0.32
2026-03-19 16:18:41.429,17.648,5.378,17.484,5.368,0.165
2026-03-19 16:18:42.430,17.534,5.714,17.465,5.71,0.069
2026-03-19 16:18:43.530,17.458,6.027,17.447,6.027,0.011
2026-03-19 16:18:44.630,17.378,6.54,17.418,6.542,0.04
2026-03-19 16:18:45.729,17.356,6.885,17.398,6.888,0.043
2026-03-19 16:18:46.829,17.341,7.215,17.38,7.217,0.039
2026-03-19 16:18:47.829,17.33,7.526,17.362,7.528,0.033
2026-03-19 16:18:48.929,17.319,7.826,17.345,7.827,0.026
2026-03-19 16:18:50.029,17.311,8.124,17.329,8.125,0.018
2026-03-19 16:18:51.129,17.294,8.573,17.303,8.573,0.009
2026-03-19 16:18:52.230,17.282,8.871,17.287,8.871,0.005
2026-03-19 16:18:53.330,17.268,9.17,17.27,9.17,0.001
2026-03-19 16:18:54.330,17.254,9.469,17.253,9.469,0.001
2026-03-19 16:18:55.429,17.237,9.769,17.236,9.769,0.002
2026-03-19 16:18:56.529,17.221,10.064,17.219,10.064,0.001
2026-03-19 16:18:57.530,17.204,10.366,17.202,10.366,0.002
2026-03-19 16:18:58.630,17.188,10.663,17.185,10.663,0.002
2026-03-19 16:18:59.729,17.161,11.113,17.16,11.113,0.001
2026-03-19 16:19:00.729,17.144,11.41,17.143,11.41,0.001
2026-03-19 16:19:01.830,17.127,11.709,17.126,11.709,0.001
2026-03-19 16:19:02.929,17.109,12.008,17.11,12.008,0.0
2026-03-19 16:19:03.930,17.092,12.306,17.093,12.306,0.0
2026-03-19 16:19:05.029,17.076,12.605,17.076,12.605,0.0
2026-03-19 16:19:06.129,17.059,12.901,17.059,12.901,0.0
2026-03-19 16:19:07.130,17.063,13.346,17.034,13.344,0.029
2026-03-19 16:19:08.130,17.192,13.613,17.224,13.526,0.093
2026-03-19 16:19:09.230,17.397,13.822,17.473,13.619,0.217
2026-03-19 16:19:10.230,17.655,13.973,17.749,13.722,0.268
2026-03-19 16:19:11.329,17.935,14.075,18.027,13.827,0.265
2026-03-19 16:19:12.330,18.226,14.149,18.307,13.932,0.232
2026-03-19 16:19:13.429,18.538,14.207,18.6,14.041,0.176
2026-03-19 16:19:14.430,18.829,14.26,18.872,14.144,0.124
2026-03-19 16:19:15.530,19.123,14.318,19.149,14.248,0.076
2026-03-19 16:19:16.629,19.557,14.421,19.564,14.403,0.02
2026-03-19 16:19:17.630,19.814,14.561,19.826,14.562,0.012
2026-03-19 16:19:18.729,19.996,14.797,19.817,14.79,0.179
2026-03-19 16:19:19.730,20.089,15.079,19.806,15.069,0.283
2026-03-19 16:19:20.730,20.113,15.377,19.795,15.365,0.319
2026-03-19 16:19:21.830,20.087,15.675,19.783,15.663,0.304
2026-03-19 16:19:22.929,20.036,15.971,19.772,15.96,0.264
2026-03-19 16:19:23.930,19.968,16.285,19.76,16.277,0.208
2026-03-19 16:19:25.029,19.895,16.603,19.747,16.597,0.148
2026-03-19 16:19:26.131,19.808,17.045,19.73,17.042,0.078
2026-03-19 16:19:27.229,19.766,17.338,19.719,17.337,0.047
2026-03-19 16:19:28.230,19.731,17.638,19.707,17.637,0.024
2026-03-19 16:19:29.329,19.707,17.934,19.696,17.934,0.011
2026-03-19 16:19:30.430,19.691,18.234,19.684,18.234,0.007
2026-03-19 16:19:31.530,19.682,18.532,19.673,18.532,0.009
2026-03-19 16:19:32.630,19.669,18.983,19.656,18.982,0.014
2026-03-19 16:19:33.730,19.657,19.279,19.644,19.278,0.013
2026-03-19 16:19:34.829,19.641,19.673,19.629,19.673,0.012
2026-03-19 16:19:35.829,19.629,20.102,19.587,20.098,0.042
2026-03-19 16:19:36.929,19.596,20.545,19.541,20.54,0.055
2026-03-19 16:19:37.929,19.566,20.91,19.503,20.904,0.063
2026-03-19 16:19:39.029,19.527,21.273,19.465,21.266,0.063
2026-03-19 16:19:40.029,19.487,21.602,19.431,21.596,0.057
2026-03-19 16:19:41.130,19.426,22.049,19.384,22.044,0.042
2026-03-19 16:19:42.130,19.386,22.343,19.353,22.34,0.033
2026-03-19 16:19:43.229,19.344,22.64,19.322,22.638,0.021
2026-03-19 16:19:44.229,19.304,22.937,19.291,22.936,0.013
2026-03-19 16:19:45.230,19.266,23.233,19.26,23.232,0.006
2026-03-19 16:19:46.329,19.23,23.528,19.229,23.528,0.001
2026-03-19 16:19:47.330,19.197,23.855,19.195,23.855,0.001
2026-03-19 16:19:48.430,19.171,24.152,19.164,24.152,0.007
2026-03-19 16:19:49.529,19.135,24.418,19.137,24.418,0.002
2026-03-19 16:19:50.530,19.063,24.722,19.038,24.712,0.027
2026-03-19 16:19:51.630,18.962,25.044,18.906,25.02,0.061
2026-03-19 16:19:52.731,18.779,25.519,18.706,25.487,0.08

Avg error: 0.133m | Max error: 0.852m
