time,actual_x,actual_y,plan_x,plan_y,error_m
2026-03-19 16:25:04.702,17.864,20.049,17.864,20.049,0.001
2026-03-19 16:25:05.729,17.998,20.077,17.988,20.025,0.054
2026-03-19 16:25:06.829,18.52,20.076,18.491,19.926,0.153
2026-03-19 16:25:07.829,18.75,20.034,18.72,19.881,0.156
2026-03-19 16:25:08.829,19.276,19.893,19.253,19.776,0.119
2026-03-19 16:25:09.929,19.692,19.644,19.628,19.702,0.086
2026-03-19 16:25:11.029,19.845,19.381,19.641,19.374,0.204
2026-03-19 16:25:12.029,19.92,19.091,19.652,19.081,0.269
2026-03-19 16:25:13.130,19.95,18.792,19.663,18.781,0.287
2026-03-19 16:25:14.130,19.933,18.451,19.677,18.441,0.257
2026-03-19 16:25:15.230,19.841,17.708,19.705,17.703,0.136
2026-03-19 16:25:16.329,19.787,17.234,19.723,17.232,0.064
2026-03-19 16:25:17.430,19.76,16.809,19.739,16.809,0.021
2026-03-19 16:25:18.530,19.724,16.388,19.755,16.389,0.032
2026-03-19 16:25:19.629,19.72,16.066,19.768,16.068,0.048
2026-03-19 16:25:20.629,19.724,15.756,19.78,15.758,0.056
2026-03-19 16:25:21.630,19.741,15.458,19.791,15.46,0.051
2026-03-19 16:25:22.729,19.765,15.01,19.808,15.012,0.044
2026-03-19 16:25:23.829,19.774,14.712,19.82,14.714,0.045
2026-03-19 16:25:24.830,19.693,14.431,19.686,14.449,0.019
2026-03-19 16:25:25.929,19.507,14.197,19.447,14.359,0.173
2026-03-19 16:25:26.930,19.262,14.029,19.176,14.258,0.244
2026-03-19 16:25:27.930,18.985,13.907,18.894,14.152,0.261
2026-03-19 16:25:29.029,18.663,13.813,18.58,14.034,0.237
2026-03-19 16:25:30.030,18.165,13.703,18.107,13.857,0.164
2026-03-19 16:25:31.129,17.855,13.647,17.818,13.748,0.108
2026-03-19 16:25:32.130,17.562,13.572,17.536,13.642,0.075
2026-03-19 16:25:33.130,17.245,13.491,17.231,13.528,0.04
2026-03-19 16:25:34.230,17.028,13.34,17.035,13.34,0.006
2026-03-19 16:25:35.230,16.861,13.09,17.049,13.101,0.188
2026-03-19 16:25:36.329,16.767,12.655,17.074,12.673,0.308
2026-03-19 16:25:37.330,16.767,12.474,17.085,12.493,0.318
2026-03-19 16:25:38.332,16.813,12.056,17.11,12.073,0.298
2026-03-19 16:25:39.431,16.893,11.652,17.134,11.666,0.242
2026-03-19 16:25:40.529,17.002,11.099,17.167,11.109,0.166
2026-03-19 16:25:41.530,17.1,10.503,17.203,10.509,0.103
2026-03-19 16:25:42.629,17.174,9.949,17.236,9.953,0.062
2026-03-19 16:25:43.730,17.243,9.193,17.281,9.195,0.038
2026-03-19 16:25:44.830,17.273,8.736,17.308,8.738,0.035
2026-03-19 16:25:45.929,17.303,8.316,17.333,8.318,0.031
2026-03-19 16:25:46.930,17.328,7.929,17.356,7.931,0.029
2026-03-19 16:25:48.030,17.345,7.571,17.377,7.573,0.033
2026-03-19 16:25:49.030,17.367,7.244,17.397,7.246,0.029
2026-03-19 16:25:50.129,17.382,6.938,17.415,6.94,0.033
2026-03-19 16:25:51.229,17.401,6.641,17.433,6.643,0.031
2026-03-19 16:25:52.330,17.427,6.191,17.459,6.193,0.032
2026-03-19 16:25:53.430,17.446,5.892,17.477,5.894,0.031
2026-03-19 16:25:54.430,17.464,5.592,17.495,5.594,0.031
2026-03-19 16:25:55.529,17.482,5.293,17.513,5.295,0.031
2026-03-19 16:25:56.530,17.499,4.995,17.53,4.997,0.031
2026-03-19 16:25:57.629,17.518,4.695,17.548,4.697,0.031
2026-03-19 16:25:58.729,17.534,4.396,17.566,4.398,0.032
2026-03-19 16:25:59.745,17.573,3.947,17.593,3.948,0.019

Avg error: 0.105m | Max error: 0.318m
