time,actual_x,actual_y,plan_x,plan_y,error_m
2026-03-19 16:31:09.155,17.862,20.049,17.862,20.049,0.0
2026-03-19 16:31:10.229,18.093,20.073,18.08,20.006,0.068
2026-03-19 16:31:11.230,18.531,20.071,18.502,19.923,0.15
2026-03-19 16:31:12.230,19.074,19.95,19.048,19.816,0.137
2026-03-19 16:31:13.329,19.438,19.807,19.425,19.742,0.066
2026-03-19 16:31:14.330,19.562,19.733,19.628,19.702,0.073
2026-03-19 16:31:15.429,19.869,19.234,19.646,19.225,0.223
2026-03-19 16:31:16.430,19.916,18.938,19.658,18.928,0.259
2026-03-19 16:31:17.530,19.931,18.601,19.671,18.591,0.26
2026-03-19 16:31:18.630,19.892,18.101,19.69,18.094,0.202
2026-03-19 16:31:19.729,19.791,17.444,19.715,17.441,0.076
2026-03-19 16:31:20.730,19.769,16.893,19.736,16.892,0.033
2026-03-19 16:31:21.830,19.732,16.441,19.753,16.441,0.022
2026-03-19 16:31:22.930,19.735,15.857,19.776,15.859,0.041
2026-03-19 16:31:23.937,19.75,15.529,19.788,15.53,0.038
2026-03-19 16:31:25.030,19.767,15.26,19.799,15.261,0.032
2026-03-19 16:31:26.030,19.78,14.962,19.81,14.963,0.03
2026-03-19 16:31:27.030,19.783,14.661,19.822,14.663,0.039
2026-03-19 16:31:28.130,19.665,14.393,19.649,14.435,0.044
2026-03-19 16:31:29.229,19.462,14.172,19.398,14.341,0.181
2026-03-19 16:31:30.230,19.205,14.016,19.122,14.237,0.237
2026-03-19 16:31:31.329,18.91,13.896,18.824,14.125,0.245
2026-03-19 16:31:32.429,18.05,13.678,17.999,13.816,0.147
2026-03-19 16:31:33.442,17.72,13.616,17.689,13.7,0.09
2026-03-19 16:31:34.530,17.399,13.532,17.38,13.584,0.055
2026-03-19 16:31:35.629,17.151,13.436,17.131,13.49,0.058
2026-03-19 16:31:36.729,16.947,13.219,17.042,13.225,0.095
2026-03-19 16:31:37.730,16.822,12.949,17.057,12.963,0.235
2026-03-19 16:31:38.829,16.779,12.623,17.076,12.641,0.298
2026-03-19 16:31:39.830,16.786,12.354,17.092,12.372,0.306
2026-03-19 16:31:40.930,16.88,11.692,17.132,11.707,0.253
2026-03-19 16:31:41.930,16.989,11.101,17.167,11.111,0.179
2026-03-19 16:31:43.029,17.093,10.398,17.209,10.405,0.116
2026-03-19 16:31:44.130,17.168,9.71,17.25,9.715,0.082
2026-03-19 16:31:45.130,17.226,9.095,17.287,9.098,0.06
2026-03-19 16:31:46.230,17.264,8.536,17.32,8.539,0.056
2026-03-19 16:31:47.330,17.297,8.03,17.35,8.033,0.053
2026-03-19 16:31:48.330,17.327,7.574,17.377,7.577,0.05
2026-03-19 16:31:49.429,17.36,7.163,17.401,7.165,0.042
2026-03-19 16:31:50.430,17.391,6.621,17.434,6.624,0.043
2026-03-19 16:31:51.431,17.415,6.303,17.453,6.305,0.038
2026-03-19 16:31:52.529,17.426,6.154,17.461,6.156,0.035
2026-03-19 16:31:53.531,17.456,5.704,17.488,5.706,0.032
2026-03-19 16:31:54.629,17.478,5.407,17.506,5.409,0.028
2026-03-19 16:31:55.629,17.495,5.108,17.524,5.109,0.029
2026-03-19 16:31:56.729,17.514,4.811,17.541,4.812,0.028
2026-03-19 16:31:57.829,17.535,4.509,17.559,4.511,0.024
2026-03-19 16:31:58.929,17.558,4.062,17.586,4.063,0.028

Avg error: 0.102m | Max error: 0.306m
