time,actual_x,actual_y,plan_x,plan_y,error_m
2026-05-05 20:16:27.053,17.997,20.434,17.997,20.434,0.0
2026-05-05 20:16:28.101,18.109,20.462,18.109,20.452,0.01
2026-05-05 20:16:29.183,18.52,20.525,18.52,20.452,0.073
2026-05-05 20:16:30.276,18.824,20.566,18.824,20.452,0.114
2026-05-05 20:16:31.372,19.154,20.867,19.128,20.452,0.416
2026-05-05 20:16:32.380,19.227,21.163,19.128,20.452,0.718
2026-05-05 20:16:33.476,19.246,21.553,19.128,20.452,1.107
2026-05-05 20:16:34.584,19.213,22.148,19.128,20.452,1.698
2026-05-05 20:16:35.691,19.176,22.448,19.128,20.452,1.996
2026-05-05 20:16:36.788,19.138,23.317,19.128,20.452,2.865
2026-05-05 20:16:37.883,19.129,23.617,19.128,20.452,3.165
2026-05-05 20:16:38.965,19.132,23.937,19.128,20.452,3.485
2026-05-05 20:16:40.060,19.133,24.516,19.128,20.452,4.064
2026-05-05 20:16:41.156,19.13,25.298,19.128,20.452,4.846
2026-05-05 20:16:42.253,19.081,25.934,19.081,20.452,5.482
2026-05-05 20:16:43.350,18.918,26.192,18.918,20.452,5.74
2026-05-05 20:16:44.444,18.657,26.344,18.657,20.452,5.892
2026-05-05 20:16:45.529,18.367,26.414,18.367,20.452,5.962
2026-05-05 20:16:46.619,18.018,26.404,18.018,20.452,5.952
2026-05-05 20:16:47.732,17.172,26.216,17.878,20.452,5.807
2026-05-05 20:16:48.809,16.839,26.175,17.878,20.452,5.816
2026-05-05 20:16:49.907,16.372,26.151,17.878,20.452,5.895
2026-05-05 20:16:50.999,15.876,26.192,17.878,20.452,6.079
2026-05-05 20:16:52.095,15.511,26.216,17.878,20.452,6.231
2026-05-05 20:16:53.186,15.054,26.235,17.878,20.452,6.435
2026-05-05 20:16:54.290,14.906,26.24,17.878,20.452,6.506
2026-05-05 20:16:55.378,14.455,26.245,17.878,20.452,6.729
2026-05-05 20:16:56.472,14.162,26.221,17.878,20.452,6.863
2026-05-05 20:16:57.570,13.904,26.077,17.878,20.452,6.888
2026-05-05 20:16:58.664,13.742,25.824,17.878,20.452,6.779
2026-05-05 20:16:59.757,13.655,25.282,17.878,20.452,6.416
2026-05-05 20:17:00.838,13.726,24.978,17.878,20.452,6.142
2026-05-05 20:17:01.933,13.92,24.744,17.878,20.452,5.838
2026-05-05 20:17:03.032,14.201,24.619,17.878,20.452,5.557
2026-05-05 20:17:04.130,14.543,24.566,17.878,20.452,5.296
2026-05-05 20:17:05.237,15.094,24.551,17.878,20.452,4.955
2026-05-05 20:17:06.330,16.121,24.606,17.878,20.452,4.51
2026-05-05 20:17:07.431,16.402,24.601,17.878,20.452,4.404
2026-05-05 20:17:08.518,16.891,24.592,17.878,20.452,4.256
2026-05-05 20:17:09.612,17.462,24.57,17.878,20.452,4.138
2026-05-05 20:17:10.703,17.917,24.553,17.917,20.452,4.101
2026-05-05 20:17:11.707,18.217,24.54,18.217,20.452,4.088
2026-05-05 20:17:12.791,18.517,24.53,18.517,20.452,4.078
2026-05-05 20:17:13.889,18.805,24.457,18.805,20.452,4.005
2026-05-05 20:17:14.986,19.033,24.274,19.033,20.452,3.822
2026-05-05 20:17:16.083,19.164,24.014,19.128,20.452,3.562
2026-05-05 20:17:17.166,19.239,23.384,19.128,20.452,2.934
2026-05-05 20:17:18.263,19.227,23.106,19.128,20.452,2.656
2026-05-05 20:17:19.263,19.157,22.24,19.128,20.452,1.788
2026-05-05 20:17:20.355,19.139,21.819,19.128,20.452,1.367
2026-05-05 20:17:21.448,19.133,21.493,19.128,20.452,1.041
2026-05-05 20:17:22.543,19.128,21.194,19.128,20.452,0.742

Avg error: 4.025m | Max error: 6.888m
