time,actual_x,actual_y,plan_x,plan_y,error_m
2026-05-05 20:14:44.513,17.936,20.126,17.936,20.126,0.001
2026-05-05 20:14:45.557,18.088,20.124,17.936,20.126,0.152
2026-05-05 20:14:46.639,18.387,20.16,17.936,20.126,0.453
2026-05-05 20:14:47.746,18.826,20.404,17.915,20.242,0.925
2026-05-05 20:14:48.849,18.989,20.668,17.878,20.452,1.131
2026-05-05 20:14:49.938,19.105,21.01,17.878,20.452,1.348
2026-05-05 20:14:51.028,19.173,21.468,17.878,20.452,1.646
2026-05-05 20:14:52.121,19.184,22.047,17.878,20.452,2.062
2026-05-05 20:14:53.245,19.142,22.86,17.878,20.452,2.719
2026-05-05 20:14:54.322,19.13,23.249,17.878,20.452,3.064
2026-05-05 20:14:55.333,19.127,23.556,17.878,20.452,3.346
2026-05-05 20:14:56.419,19.125,23.86,17.878,20.452,3.629
2026-05-05 20:14:57.517,19.127,24.076,17.878,20.452,3.833
2026-05-05 20:14:58.615,19.152,25.127,17.878,20.452,4.845
2026-05-05 20:14:59.713,19.115,25.708,17.878,20.452,5.4
2026-05-05 20:15:00.811,19.019,25.998,17.878,20.452,5.662
2026-05-05 20:15:01.905,18.681,26.296,17.878,20.452,5.899
2026-05-05 20:15:02.999,18.393,26.37,17.878,20.452,5.94
2026-05-05 20:15:04.095,18.061,26.392,17.878,20.452,5.943
2026-05-05 20:15:05.184,17.533,26.362,17.878,20.452,5.92
2026-05-05 20:15:06.277,16.868,26.279,17.878,20.452,5.914
2026-05-05 20:15:07.373,16.58,26.258,17.878,20.452,5.949
2026-05-05 20:15:08.376,15.699,26.234,17.878,20.452,6.179
2026-05-05 20:15:09.475,15.366,26.228,17.878,20.452,6.298
2026-05-05 20:15:10.557,15.063,26.232,17.878,20.452,6.429
2026-05-05 20:15:11.655,14.766,26.237,17.878,20.452,6.569

Avg error: 3.894m | Max error: 6.569m
