time,actual_x,actual_y,plan_x,plan_y,error_m
2026-04-25 13:46:50.492,14.141,26.251,14.141,26.251,0.0
2026-04-25 13:46:51.501,13.987,26.278,13.878,26.252,0.112
2026-04-25 13:46:52.593,13.72,26.249,13.876,26.234,0.157
2026-04-25 13:46:53.696,13.487,25.899,13.841,25.865,0.355
2026-04-25 13:46:54.786,13.495,25.565,13.809,25.534,0.315
2026-04-25 13:46:55.883,13.614,25.149,13.77,25.134,0.157
2026-04-25 13:46:56.968,13.821,24.917,13.75,24.924,0.072
2026-04-25 13:46:58.057,14.11,24.738,14.108,24.688,0.05
2026-04-25 13:46:59.151,14.765,24.581,14.768,24.663,0.082
2026-04-25 13:47:00.258,15.383,24.557,15.386,24.641,0.084
2026-04-25 13:47:01.342,15.984,24.581,15.985,24.618,0.037
2026-04-25 13:47:02.432,16.491,24.586,16.492,24.6,0.013
2026-04-25 13:47:03.442,16.92,24.581,16.92,24.584,0.003
2026-04-25 13:47:04.528,17.276,24.569,17.276,24.571,0.002
2026-04-25 13:47:05.620,17.584,24.558,17.584,24.559,0.001
2026-04-25 13:47:06.714,18.031,24.539,18.031,24.543,0.004
2026-04-25 13:47:07.817,18.331,24.53,18.331,24.532,0.002
2026-04-25 13:47:08.903,18.632,24.511,18.632,24.52,0.01
2026-04-25 13:47:10.007,18.879,24.369,18.884,24.511,0.142
2026-04-25 13:47:11.094,19.072,24.129,19.173,24.142,0.101
2026-04-25 13:47:12.183,19.303,23.47,19.256,23.464,0.047
2026-04-25 13:47:13.286,19.366,22.859,19.331,22.855,0.035
2026-04-25 13:47:14.384,19.415,22.341,19.395,22.339,0.02
2026-04-25 13:47:15.468,19.455,21.937,19.445,21.935,0.01
2026-04-25 13:47:16.557,19.491,21.616,19.484,21.616,0.007
2026-04-25 13:47:17.657,19.524,21.317,19.521,21.317,0.003
2026-04-25 13:47:18.746,19.556,20.87,19.576,20.872,0.02
2026-04-25 13:47:19.846,19.425,20.614,19.605,20.636,0.182
2026-04-25 13:47:20.932,19.197,20.404,19.212,20.345,0.061

Avg error: 0.072m | Max error: 0.355m
