time,actual_x,actual_y,plan_x,plan_y,error_m
2026-04-25 13:32:22.780,14.432,26.232,14.432,26.232,0.0
2026-04-25 13:32:23.825,14.286,26.234,14.286,26.237,0.004
2026-04-25 13:32:24.922,14.02,26.189,14.022,26.247,0.058
2026-04-25 13:32:26.019,13.751,25.85,13.838,25.842,0.087
2026-04-25 13:32:27.119,13.664,25.478,13.802,25.465,0.138
2026-04-25 13:32:28.209,13.663,25.045,13.76,25.035,0.098
2026-04-25 13:32:29.304,13.808,24.776,13.736,24.783,0.073
2026-04-25 13:32:30.385,14.05,24.613,14.053,24.69,0.077
2026-04-25 13:32:31.482,14.398,24.528,14.403,24.677,0.149
2026-04-25 13:32:32.591,15.263,24.553,15.266,24.645,0.092
2026-04-25 13:32:33.684,15.879,24.612,15.879,24.622,0.01
2026-04-25 13:32:34.779,16.404,24.614,16.403,24.603,0.011
2026-04-25 13:32:35.874,16.842,24.602,16.842,24.587,0.016
2026-04-25 13:32:36.980,17.372,24.577,17.372,24.567,0.01
2026-04-25 13:32:38.076,17.671,24.562,17.671,24.556,0.006
2026-04-25 13:32:39.173,17.971,24.548,17.971,24.545,0.003
2026-04-25 13:32:40.275,18.271,24.535,18.271,24.534,0.001
2026-04-25 13:32:41.369,18.572,24.519,18.572,24.523,0.003
2026-04-25 13:32:42.466,18.831,24.403,18.836,24.513,0.109
2026-04-25 13:32:43.564,19.126,24.027,19.128,24.502,0.475
2026-04-25 13:32:44.657,19.289,23.575,19.128,24.502,0.941
2026-04-25 13:32:45.766,19.378,23.016,19.128,24.502,1.507
2026-04-25 13:32:46.859,19.424,22.47,19.128,24.502,2.054
2026-04-25 13:32:47.955,19.471,21.863,19.128,24.502,2.661
2026-04-25 13:32:49.051,19.502,21.555,19.128,24.502,2.97
2026-04-25 13:32:50.161,19.534,21.256,19.128,24.502,3.272
2026-04-25 13:32:51.254,19.561,20.956,19.128,24.502,3.573
2026-04-25 13:32:52.342,19.466,20.684,19.128,24.502,3.833
2026-04-25 13:32:53.446,19.258,20.458,19.128,24.502,4.046
2026-04-25 13:32:54.538,18.677,20.146,18.839,24.513,4.37

Avg error: 1.022m | Max error: 4.370m
