time,actual_x,actual_y,plan_x,plan_y,error_m
2026-04-25 10:46:24.728,17.962,20.039,17.938,20.039,0.024
2026-04-25 10:46:25.837,18.078,20.041,18.075,20.053,0.012
2026-04-25 10:46:26.933,18.243,20.038,18.229,20.092,0.056
2026-04-25 10:46:28.039,19.076,20.289,19.071,20.309,0.021
2026-04-25 10:46:29.040,19.358,20.365,19.354,20.382,0.017
2026-04-25 10:46:30.119,19.598,20.534,19.618,20.537,0.019
2026-04-25 10:46:31.215,19.704,20.807,19.586,20.792,0.119
2026-04-25 10:46:32.316,19.707,21.144,19.545,21.124,0.163
2026-04-25 10:46:33.404,19.534,21.989,19.44,21.978,0.095
2026-04-25 10:46:34.508,19.399,22.512,19.374,22.509,0.025
2026-04-25 10:46:35.612,19.329,22.932,19.322,22.931,0.007
2026-04-25 10:46:36.707,19.28,23.264,19.281,23.265,0.001
2026-04-25 10:46:37.804,19.24,23.56,19.244,23.56,0.004
2026-04-25 10:46:38.886,19.205,23.858,19.207,23.858,0.002
2026-04-25 10:46:39.985,19.146,24.359,19.146,24.359,0.001
2026-04-25 10:46:41.082,19.046,24.774,19.017,24.761,0.032
2026-04-25 10:46:42.174,18.766,25.305,18.781,25.312,0.016
2026-04-25 10:46:43.273,18.543,25.789,18.571,25.801,0.031
2026-04-25 10:46:44.368,18.451,26.105,18.443,26.101,0.009
2026-04-25 10:46:45.476,18.079,26.344,18.079,26.252,0.092
2026-04-25 10:46:46.585,17.785,26.407,17.785,26.252,0.155
2026-04-25 10:46:47.680,17.31,26.378,17.31,26.252,0.126
2026-04-25 10:46:48.778,16.813,26.222,16.813,26.252,0.03
2026-04-25 10:46:49.873,16.463,26.206,16.463,26.252,0.046
2026-04-25 10:46:50.974,15.759,26.213,15.759,26.252,0.039
2026-04-25 10:46:52.068,15.434,26.234,15.434,26.252,0.018
2026-04-25 10:46:53.164,15.093,26.238,15.093,26.252,0.014
2026-04-25 10:46:54.164,14.793,26.247,14.793,26.252,0.005
2026-04-25 10:46:55.244,14.493,26.249,14.493,26.252,0.003

Avg error: 0.041m | Max error: 0.163m
