time,actual_x,actual_y,plan_x,plan_y,error_m
2026-04-25 11:00:40.463,14.117,26.25,14.117,26.25,0.0
2026-04-25 11:00:41.553,13.941,26.245,13.878,26.251,0.063
2026-04-25 11:00:42.641,13.677,26.154,13.867,26.136,0.19
2026-04-25 11:00:43.732,13.528,25.907,13.842,25.877,0.315
2026-04-25 11:00:44.735,13.502,25.601,13.812,25.571,0.311
2026-04-25 11:00:45.829,13.631,24.992,13.755,24.98,0.124
2026-04-25 11:00:46.922,13.78,24.742,13.732,24.747,0.048
2026-04-25 11:00:47.942,14.043,24.601,14.046,24.69,0.09
2026-04-25 11:00:49.054,14.194,24.564,14.198,24.685,0.121
2026-04-25 11:00:50.168,14.397,24.532,14.402,24.677,0.145
2026-04-25 11:00:51.268,15.603,24.586,15.605,24.632,0.047
2026-04-25 11:00:52.360,16.419,24.607,16.419,24.602,0.005
2026-04-25 11:00:53.456,16.856,24.596,16.855,24.586,0.01
2026-04-25 11:00:54.548,17.222,24.582,17.221,24.573,0.009
2026-04-25 11:00:55.641,17.532,24.57,17.532,24.561,0.008
2026-04-25 11:00:56.739,17.831,24.556,17.831,24.55,0.006
2026-04-25 11:00:57.741,18.13,24.544,18.13,24.539,0.005
2026-04-25 11:00:58.829,18.429,24.532,18.429,24.528,0.004
2026-04-25 11:00:59.918,18.878,24.513,18.878,24.511,0.001
2026-04-25 11:01:01.018,19.136,24.394,19.141,24.395,0.005
2026-04-25 11:01:02.104,19.286,24.143,19.174,24.129,0.113
2026-04-25 11:01:03.208,19.363,23.781,19.219,23.763,0.145
2026-04-25 11:01:04.294,19.388,23.163,19.295,23.152,0.094
2026-04-25 11:01:05.396,19.417,22.344,19.395,22.342,0.023
2026-04-25 11:01:06.501,19.453,21.944,19.444,21.942,0.009
2026-04-25 11:01:07.598,19.486,21.626,19.483,21.626,0.003
2026-04-25 11:01:08.691,19.521,21.329,19.52,21.329,0.002
2026-04-25 11:01:09.779,19.556,21.032,19.556,21.032,0.0
2026-04-25 11:01:10.882,19.589,20.591,19.611,20.594,0.022
2026-04-25 11:01:11.987,19.446,20.345,19.431,20.401,0.058
2026-04-25 11:01:13.064,19.189,20.198,19.155,20.33,0.137
2026-04-25 11:01:14.150,18.77,20.075,18.732,20.222,0.151

Avg error: 0.071m | Max error: 0.315m
