time,actual_x,actual_y,plan_x,plan_y,error_m
2026-04-25 10:47:08.586,14.164,26.252,14.133,26.253,0.031
2026-04-25 10:47:09.675,13.98,26.248,13.878,26.252,0.102
2026-04-25 10:47:10.679,13.722,26.169,13.869,26.155,0.147
2026-04-25 10:47:11.783,13.57,25.926,13.844,25.9,0.275
2026-04-25 10:47:12.879,13.555,25.371,13.791,25.348,0.237
2026-04-25 10:47:13.964,13.66,24.984,13.754,24.975,0.095
2026-04-25 10:47:15.062,13.816,24.74,13.815,24.699,0.041
2026-04-25 10:47:16.163,14.079,24.606,14.082,24.689,0.083
2026-04-25 10:47:17.259,14.428,24.539,14.433,24.676,0.137
2026-04-25 10:47:18.265,15.002,24.534,15.006,24.655,0.12
2026-04-25 10:47:19.275,15.67,24.589,15.672,24.63,0.041
2026-04-25 10:47:20.365,16.228,24.605,16.228,24.609,0.005
2026-04-25 10:47:21.455,16.903,24.591,16.903,24.584,0.006
2026-04-25 10:47:22.546,17.265,24.578,17.265,24.571,0.007
2026-04-25 10:47:23.644,17.573,24.566,17.573,24.56,0.006
2026-04-25 10:47:24.645,17.872,24.554,17.871,24.549,0.005
2026-04-25 10:47:25.739,18.171,24.541,18.171,24.537,0.003
2026-04-25 10:47:26.833,18.471,24.529,18.471,24.526,0.002
2026-04-25 10:47:27.929,18.77,24.516,18.77,24.515,0.001
2026-04-25 10:47:29.011,19.062,24.464,19.063,24.504,0.041
2026-04-25 10:47:30.105,19.312,24.117,19.178,24.101,0.136
2026-04-25 10:47:31.212,19.376,23.741,19.224,23.722,0.153
2026-04-25 10:47:32.297,19.382,23.114,19.301,23.104,0.082
2026-04-25 10:47:33.387,19.399,22.542,19.37,22.538,0.029
2026-04-25 10:47:34.393,19.439,22.092,19.426,22.09,0.013
2026-04-25 10:47:35.491,19.475,21.739,19.469,21.738,0.006
2026-04-25 10:47:36.574,19.508,21.44,19.506,21.44,0.002
2026-04-25 10:47:37.673,19.56,20.992,19.561,20.992,0.001
2026-04-25 10:47:38.772,19.594,20.692,19.598,20.693,0.005
2026-04-25 10:47:39.866,19.527,20.413,19.524,20.425,0.013
2026-04-25 10:47:40.950,19.147,20.181,19.111,20.319,0.143
2026-04-25 10:47:42.048,18.689,20.08,18.658,20.203,0.126

Avg error: 0.065m | Max error: 0.275m
