time,actual_x,actual_y,plan_x,plan_y,error_m
2026-05-05 19:10:09.418,17.799,20.332,17.799,20.332,0.0
2026-05-05 19:10:10.434,17.934,20.303,17.934,20.452,0.149
2026-05-05 19:10:11.528,18.424,20.302,18.424,20.452,0.15
2026-05-05 19:10:12.619,18.781,20.456,18.781,20.452,0.004
2026-05-05 19:10:13.718,18.987,20.686,18.987,20.452,0.234
2026-05-05 19:10:14.819,19.097,20.974,19.128,20.974,0.031
2026-05-05 19:10:15.904,19.174,21.365,19.128,21.365,0.046
2026-05-05 19:10:17.003,19.198,21.895,19.128,21.895,0.07
2026-05-05 19:10:18.097,19.152,22.761,19.128,22.761,0.024
2026-05-05 19:10:19.194,19.14,23.179,19.128,23.179,0.012
2026-05-05 19:10:20.282,19.139,23.502,19.128,23.502,0.011
2026-05-05 19:10:21.383,19.134,23.802,19.128,23.802,0.006
2026-05-05 19:10:22.477,19.137,24.245,19.128,24.245,0.009
2026-05-05 19:10:23.567,19.143,24.975,19.128,24.975,0.015
2026-05-05 19:10:24.652,19.097,25.816,19.128,25.816,0.031
2026-05-05 19:10:25.756,19.012,26.102,19.128,26.102,0.116
2026-05-05 19:10:26.842,18.808,26.322,18.808,26.252,0.07
2026-05-05 19:10:27.941,18.534,26.437,18.534,26.252,0.185
2026-05-05 19:10:29.025,18.027,26.44,18.027,26.252,0.188
2026-05-05 19:10:30.124,17.426,26.346,17.426,26.252,0.094
2026-05-05 19:10:31.213,16.801,26.248,16.801,26.252,0.004
2026-05-05 19:10:32.309,16.288,26.238,16.288,26.252,0.014
2026-05-05 19:10:33.411,15.841,26.22,15.841,26.252,0.032
2026-05-05 19:10:34.495,15.449,26.226,15.449,26.252,0.026
2026-05-05 19:10:35.590,15.025,26.229,15.025,26.252,0.023
2026-05-05 19:10:36.686,14.728,26.234,14.728,26.252,0.018
2026-05-05 19:10:37.785,14.429,26.236,14.429,26.252,0.016

Avg error: 0.058m | Max error: 0.234m
