time,actual_x,actual_y,plan_x,plan_y,error_m
2026-04-14 19:51:40.941,-0.026,-0.087,-0.026,-0.087,0.0
2026-04-14 19:51:42.046,0.207,-0.1,-0.026,-0.087,0.234
2026-04-14 19:51:43.137,0.48,-0.142,0.464,0.005,0.148
2026-04-14 19:51:44.229,0.776,-0.106,0.759,0.038,0.145
2026-04-14 19:51:45.325,1.112,-0.055,1.097,0.076,0.132
2026-04-14 19:51:46.424,1.535,0.015,1.522,0.124,0.11
2026-04-14 19:51:47.515,2.075,0.117,2.067,0.185,0.069
2026-04-14 19:51:48.618,2.379,0.174,2.374,0.22,0.045
2026-04-14 19:51:49.705,2.674,0.222,2.67,0.253,0.03
2026-04-14 19:51:50.792,2.971,0.271,2.969,0.286,0.015
2026-04-14 19:51:51.886,3.264,0.312,3.263,0.319,0.007
2026-04-14 19:51:52.991,3.564,0.353,3.564,0.353,0.0
2026-04-14 19:51:54.076,4.008,0.407,4.009,0.403,0.003
2026-04-14 19:51:55.197,4.293,0.475,4.297,0.436,0.04
2026-04-14 19:51:56.288,4.522,0.663,4.38,0.655,0.142
2026-04-14 19:51:57.372,4.66,0.925,4.367,0.91,0.294
2026-04-14 19:51:58.471,4.707,1.218,4.352,1.2,0.355
2026-04-14 19:51:59.587,4.658,1.664,4.34,1.446,0.385
2026-04-14 19:52:00.675,4.579,1.955,4.34,1.446,0.563
2026-04-14 19:52:01.749,4.468,2.309,4.34,1.446,0.873
2026-04-14 19:52:02.841,4.337,2.727,4.34,1.446,1.281
2026-04-14 19:52:03.943,4.232,3.086,4.34,1.446,1.644
2026-04-14 19:52:05.033,4.157,3.392,4.34,1.446,1.954
2026-04-14 19:52:06.127,4.07,3.833,4.34,1.446,2.402
2026-04-14 19:52:07.215,4.023,4.128,4.34,1.446,2.701
2026-04-14 19:52:08.315,3.981,4.424,4.34,1.446,3.0
2026-04-14 19:52:09.407,3.937,4.76,4.34,1.446,3.338
2026-04-14 19:52:10.505,3.86,5.58,4.34,1.446,4.161
2026-04-14 19:52:11.602,3.848,6.02,4.34,1.446,4.6
2026-04-14 19:52:12.688,3.842,6.466,4.34,1.446,5.044
2026-04-14 19:52:13.778,3.842,6.843,4.34,1.446,5.42
2026-04-14 19:52:14.882,3.84,7.175,4.34,1.446,5.751
2026-04-14 19:52:15.972,3.838,7.476,4.34,1.446,6.05
2026-04-14 19:52:17.068,3.835,7.926,4.34,1.446,6.499
2026-04-14 19:52:18.079,3.828,8.226,4.34,1.446,6.799
2026-04-14 19:52:19.148,3.823,8.377,4.34,1.446,6.95
2026-04-14 19:52:20.240,3.81,8.823,4.34,1.446,7.396
2026-04-14 19:52:21.324,3.799,9.178,4.34,1.446,7.751
2026-04-14 19:52:22.418,3.785,9.751,4.34,1.446,8.323
2026-04-14 19:52:23.515,3.779,10.279,4.34,1.446,8.851
2026-04-14 19:52:24.642,3.767,10.901,4.34,1.446,9.472
2026-04-14 19:52:25.703,3.739,11.287,4.34,1.446,9.859
2026-04-14 19:52:26.800,3.714,11.625,4.34,1.446,10.198
2026-04-14 19:52:27.898,3.693,11.926,4.34,1.446,10.5
2026-04-14 19:52:28.982,3.676,12.226,4.34,1.446,10.801
2026-04-14 19:52:30.122,3.657,12.675,4.34,1.446,11.249
2026-04-14 19:52:31.189,3.641,12.974,4.34,1.446,11.549
2026-04-14 19:52:32.365,3.623,13.274,4.34,1.446,11.85
2026-04-14 19:52:33.468,3.606,13.573,4.34,1.446,12.149
2026-04-14 19:52:34.569,3.631,13.87,4.34,1.446,12.445
2026-04-14 19:52:35.612,3.881,14.244,4.34,1.446,12.807
2026-04-14 19:52:36.659,3.993,14.342,4.34,1.446,12.9
2026-04-14 19:52:37.759,4.385,14.561,4.34,1.446,13.115
2026-04-14 19:52:38.846,4.67,14.657,4.34,1.446,13.215
2026-04-14 19:52:39.943,4.982,14.742,4.34,1.446,13.312
2026-04-14 19:52:41.052,5.483,14.867,4.34,1.446,13.469
2026-04-14 19:52:42.131,5.774,14.94,4.34,1.446,13.57
2026-04-14 19:52:43.214,6.062,15.021,4.34,1.446,13.684
2026-04-14 19:52:44.311,6.35,15.104,4.34,1.446,13.805
2026-04-14 19:52:45.410,6.663,15.209,4.34,1.446,13.958
2026-04-14 19:52:46.499,6.938,15.307,4.34,1.446,14.102
2026-04-14 19:52:47.638,7.473,15.417,4.34,1.446,14.318
2026-04-14 19:52:48.694,7.82,15.453,4.34,1.446,14.433
2026-04-14 19:52:49.791,8.23,15.461,4.34,1.446,14.544
2026-04-14 19:52:50.877,8.745,15.454,4.34,1.446,14.684
2026-04-14 19:52:51.965,9.169,15.437,4.34,1.446,14.801
2026-04-14 19:52:53.132,9.813,15.405,4.34,1.446,14.994
2026-04-14 19:52:54.198,10.205,15.389,4.34,1.446,15.127
2026-04-14 19:52:55.250,10.567,15.377,4.34,1.446,15.259
2026-04-14 19:52:56.354,10.933,15.372,4.34,1.446,15.407
2026-04-14 19:52:57.449,11.238,15.368,4.34,1.446,15.538
2026-04-14 19:52:58.566,11.689,15.366,4.34,1.446,15.741
2026-04-14 19:52:59.651,11.995,15.367,4.34,1.446,15.887
2026-04-14 19:53:00.734,12.292,15.371,4.34,1.446,16.035
2026-04-14 19:53:01.825,12.59,15.369,4.34,1.446,16.184
2026-04-14 19:53:02.923,12.889,15.368,4.34,1.446,16.338
2026-04-14 19:53:04.024,13.187,15.364,4.34,1.446,16.492
2026-04-14 19:53:05.115,13.489,15.365,4.34,1.446,16.657
2026-04-14 19:53:06.122,13.937,15.361,4.34,1.446,16.903
2026-04-14 19:53:07.142,14.237,15.357,4.34,1.446,17.073
2026-04-14 19:53:08.187,14.538,15.353,4.34,1.446,17.245
2026-04-14 19:53:09.275,14.884,15.348,4.34,1.446,17.449
2026-04-14 19:53:10.370,15.309,15.33,4.34,1.446,17.694
2026-04-14 19:53:11.450,15.687,15.331,4.34,1.446,17.932
2026-04-14 19:53:12.569,16.179,15.339,4.34,1.446,18.253
2026-04-14 19:53:13.648,16.201,15.34,4.34,1.446,18.268
2026-04-14 19:53:14.732,16.123,15.339,4.34,1.446,18.217
2026-04-14 19:53:15.745,16.286,15.34,4.34,1.446,18.324
2026-04-14 19:53:16.822,16.696,15.347,4.34,1.446,18.598
2026-04-14 19:53:17.902,17.128,15.355,4.34,1.446,18.894
2026-04-14 19:53:19.005,17.562,15.365,4.34,1.446,19.198
2026-04-14 19:53:20.106,18.235,15.372,4.34,1.446,19.672
2026-04-14 19:53:21.186,18.683,15.381,4.34,1.446,19.998
2026-04-14 19:53:22.278,19.131,15.402,4.34,1.446,20.336
2026-04-14 19:53:23.378,19.577,15.419,4.34,1.446,20.674
2026-04-14 19:53:24.465,20.024,15.427,4.34,1.446,21.01
2026-04-14 19:53:25.558,20.465,15.434,4.34,1.446,21.347
2026-04-14 19:53:26.666,21.125,15.449,4.34,1.446,21.858
2026-04-14 19:53:27.747,21.57,15.455,4.34,1.446,22.207
2026-04-14 19:53:28.843,22.016,15.46,4.34,1.446,22.557
2026-04-14 19:53:29.935,22.243,15.469,4.34,1.446,22.741
2026-04-14 19:53:31.036,22.913,15.496,4.34,1.446,23.289
2026-04-14 19:53:32.130,23.136,15.503,4.34,1.446,23.471
2026-04-14 19:53:33.218,24.023,15.526,4.34,1.446,24.201
2026-04-14 19:53:34.319,24.458,15.538,4.34,1.446,24.563

Avg error: 11.104m | Max error: 24.563m
