time,actual_x,actual_y,plan_x,plan_y,error_m
2026-04-14 19:51:40.941,-0.026,-0.087,-0.030,-0.051,0.037
2026-04-14 19:51:42.046,0.207,-0.100,0.199,-0.025,0.076
2026-04-14 19:51:43.137,0.480,-0.142,0.464,0.005,0.148
2026-04-14 19:51:44.229,0.776,-0.106,0.760,0.038,0.145
2026-04-14 19:51:45.325,1.112,-0.055,1.097,0.076,0.132
2026-04-14 19:51:46.424,1.535,0.015,1.523,0.124,0.110
2026-04-14 19:51:47.515,2.075,0.117,2.067,0.185,0.068
2026-04-14 19:51:48.618,2.379,0.174,2.374,0.219,0.046
2026-04-14 19:51:49.705,2.674,0.222,2.671,0.253,0.031
2026-04-14 19:51:50.792,2.971,0.271,2.969,0.286,0.015
2026-04-14 19:51:51.886,3.264,0.312,3.263,0.319,0.007
2026-04-14 19:51:52.991,3.564,0.353,3.564,0.353,0.000
2026-04-14 19:51:54.076,4.008,0.407,4.390,0.446,0.384
2026-04-14 19:51:55.197,4.293,0.475,4.388,0.480,0.095
2026-04-14 19:51:56.288,4.522,0.663,4.380,0.656,0.143
2026-04-14 19:51:57.372,4.660,0.925,4.367,0.910,0.294
2026-04-14 19:51:58.471,4.707,1.218,4.340,1.446,0.432
2026-04-14 19:51:59.587,4.658,1.664,4.320,1.625,0.341
2026-04-14 19:52:00.675,4.579,1.955,4.286,1.921,0.295
2026-04-14 19:52:01.749,4.468,2.309,4.244,2.283,0.225
2026-04-14 19:52:02.841,4.337,2.727,4.195,2.711,0.142
2026-04-14 19:52:03.943,4.232,3.086,4.154,3.077,0.079
2026-04-14 19:52:05.033,4.157,3.392,4.118,3.388,0.039
2026-04-14 19:52:06.127,4.070,3.833,4.067,3.833,0.003
2026-04-14 19:52:07.215,4.023,4.128,4.033,4.129,0.010
2026-04-14 19:52:08.315,3.981,4.424,3.999,4.426,0.019
2026-04-14 19:52:09.407,3.937,4.760,3.940,4.946,0.186
2026-04-14 19:52:10.505,3.860,5.580,3.918,5.582,0.058
2026-04-14 19:52:11.602,3.848,6.020,3.903,6.022,0.055
2026-04-14 19:52:12.688,3.842,6.466,3.888,6.468,0.046
2026-04-14 19:52:13.778,3.842,6.843,3.875,6.844,0.033
2026-04-14 19:52:14.882,3.840,7.175,3.863,7.176,0.023
2026-04-14 19:52:15.972,3.838,7.476,3.853,7.477,0.015
2026-04-14 19:52:17.068,3.835,7.926,3.837,7.926,0.002
2026-04-14 19:52:18.079,3.828,8.226,3.827,8.226,0.001
2026-04-14 19:52:19.148,3.823,8.377,3.822,8.377,0.001
2026-04-14 19:52:20.240,3.810,8.823,3.790,9.296,0.473
2026-04-14 19:52:21.324,3.799,9.178,3.790,9.296,0.118
2026-04-14 19:52:22.418,3.785,9.751,3.770,9.750,0.015
2026-04-14 19:52:23.515,3.779,10.279,3.748,10.278,0.031
2026-04-14 19:52:24.642,3.767,10.901,3.721,10.899,0.046
2026-04-14 19:52:25.703,3.739,11.287,3.704,11.286,0.035
2026-04-14 19:52:26.800,3.714,11.625,3.690,11.624,0.024
2026-04-14 19:52:27.898,3.693,11.926,3.677,11.925,0.016
2026-04-14 19:52:28.982,3.676,12.226,3.664,12.225,0.012
2026-04-14 19:52:30.122,3.657,12.675,3.645,12.674,0.012
2026-04-14 19:52:31.189,3.641,12.974,3.632,12.974,0.009
2026-04-14 19:52:32.365,3.623,13.274,3.619,13.274,0.004
2026-04-14 19:52:33.468,3.606,13.573,3.590,13.946,0.373
2026-04-14 19:52:34.569,3.631,13.870,3.599,13.949,0.086
2026-04-14 19:52:35.612,3.881,14.244,3.944,14.090,0.166
2026-04-14 19:52:36.659,3.993,14.342,4.074,14.144,0.214
2026-04-14 19:52:37.759,4.385,14.561,4.487,14.312,0.269
2026-04-14 19:52:38.846,4.670,14.657,4.764,14.426,0.250
2026-04-14 19:52:39.943,4.982,14.742,5.062,14.547,0.211
2026-04-14 19:52:41.052,5.483,14.867,5.535,14.740,0.137
2026-04-14 19:52:42.131,5.774,14.940,5.810,14.853,0.094
2026-04-14 19:52:43.214,6.062,15.021,6.085,14.965,0.060
2026-04-14 19:52:44.311,6.350,15.104,6.361,15.078,0.028
2026-04-14 19:52:45.410,6.663,15.209,6.666,15.202,0.007
2026-04-14 19:52:46.499,6.938,15.307,7.140,15.396,0.221
2026-04-14 19:52:47.638,7.473,15.417,7.473,15.394,0.023
2026-04-14 19:52:48.694,7.820,15.453,7.820,15.392,0.061
2026-04-14 19:52:49.791,8.230,15.461,8.230,15.389,0.072
2026-04-14 19:52:50.877,8.745,15.454,8.745,15.386,0.068
2026-04-14 19:52:51.965,9.169,15.437,9.169,15.383,0.054
2026-04-14 19:52:53.132,9.813,15.405,9.813,15.379,0.026
2026-04-14 19:52:54.198,10.205,15.389,10.205,15.377,0.012
2026-04-14 19:52:55.250,10.567,15.377,10.567,15.374,0.003
2026-04-14 19:52:56.354,10.933,15.372,10.933,15.372,0.000
2026-04-14 19:52:57.449,11.238,15.368,11.238,15.370,0.002
2026-04-14 19:52:58.566,11.689,15.366,11.689,15.367,0.001
2026-04-14 19:52:59.651,11.995,15.367,11.995,15.365,0.002
2026-04-14 19:53:00.734,12.292,15.371,12.292,15.363,0.008
2026-04-14 19:53:01.825,12.590,15.369,12.590,15.362,0.007
2026-04-14 19:53:02.923,12.889,15.368,12.889,15.360,0.008
2026-04-14 19:53:04.024,13.187,15.364,13.187,15.358,0.006
2026-04-14 19:53:05.115,13.489,15.365,13.489,15.356,0.009
2026-04-14 19:53:06.122,13.937,15.361,13.937,15.353,0.008
2026-04-14 19:53:07.142,14.237,15.357,14.237,15.351,0.006
2026-04-14 19:53:08.187,14.538,15.353,14.538,15.349,0.004
2026-04-14 19:53:09.275,14.884,15.348,15.040,15.346,0.156
2026-04-14 19:53:10.370,15.309,15.330,15.306,15.367,0.037
2026-04-14 19:53:11.450,15.687,15.331,15.682,15.396,0.065
2026-04-14 19:53:12.569,16.179,15.339,16.172,15.433,0.095
2026-04-14 19:53:13.648,16.201,15.340,16.194,15.435,0.095
2026-04-14 19:53:14.732,16.123,15.339,16.116,15.429,0.090
2026-04-14 19:53:15.745,16.286,15.340,16.278,15.442,0.102
2026-04-14 19:53:16.822,16.696,15.347,16.686,15.473,0.127
2026-04-14 19:53:17.902,17.128,15.355,17.116,15.506,0.152
2026-04-14 19:53:19.005,17.562,15.365,17.548,15.540,0.175
2026-04-14 19:53:20.106,18.235,15.372,18.218,15.592,0.220
2026-04-14 19:53:21.186,18.683,15.381,18.664,15.626,0.246
2026-04-14 19:53:22.278,19.131,15.402,19.111,15.661,0.259
2026-04-14 19:53:23.378,19.577,15.419,19.556,15.695,0.277
2026-04-14 19:53:24.465,20.024,15.427,20.001,15.729,0.303
2026-04-14 19:53:25.558,20.465,15.434,20.440,15.763,0.330
2026-04-14 19:53:26.666,21.125,15.449,21.097,15.814,0.366
2026-04-14 19:53:27.747,21.570,15.455,21.540,15.848,0.395
2026-04-14 19:53:28.843,22.016,15.460,21.983,15.883,0.424
2026-04-14 19:53:29.935,22.243,15.469,22.210,15.900,0.432
2026-04-14 19:53:31.036,22.913,15.496,22.878,15.952,0.457
2026-04-14 19:53:32.130,23.136,15.503,23.100,15.969,0.467
2026-04-14 19:53:33.218,24.023,15.526,23.983,16.037,0.513
2026-04-14 19:53:34.319,24.458,15.538,24.417,16.071,0.534
