time,actual_x,actual_y,plan_x,plan_y,error_m
2026-04-03 16:19:51.743,17.985,20.1,17.985,20.1,0.0
2026-04-03 16:19:52.745,17.985,20.1,17.985,20.1,0.0
2026-04-03 16:19:53.842,17.985,20.1,17.985,20.1,0.0
2026-04-03 16:19:54.933,17.985,20.1,17.985,20.1,0.0
2026-04-03 16:19:56.025,17.985,20.1,17.985,20.1,0.0
2026-04-03 16:19:57.124,17.985,20.1,17.985,20.1,0.0
2026-04-03 16:19:58.224,17.985,20.1,17.985,20.1,0.0
2026-04-03 16:19:59.312,17.985,20.1,17.985,20.1,0.0
2026-04-03 16:20:00.406,17.985,20.1,17.985,20.1,0.0
2026-04-03 16:20:01.498,18.104,20.156,18.109,20.138,0.018
2026-04-03 16:20:02.588,18.488,20.276,18.494,20.257,0.02
2026-04-03 16:20:03.687,18.94,20.42,18.947,20.396,0.024
2026-04-03 16:20:04.780,19.174,20.609,19.128,20.609,0.046
2026-04-03 16:20:05.882,19.33,20.861,19.128,20.861,0.202
2026-04-03 16:20:06.968,19.416,21.152,19.128,21.152,0.288
2026-04-03 16:20:08.069,19.443,21.452,19.128,21.452,0.315
2026-04-03 16:20:09.160,19.432,21.754,19.128,21.702,0.308
2026-04-03 16:20:10.250,19.376,22.211,19.128,21.702,0.566
2026-04-03 16:20:11.340,19.322,22.585,19.128,21.702,0.904
2026-04-03 16:20:12.439,19.269,22.974,19.128,21.702,1.28
2026-04-03 16:20:13.526,19.229,23.293,19.128,21.702,1.595
2026-04-03 16:20:14.624,19.185,23.741,19.128,21.702,2.04
2026-04-03 16:20:15.723,19.161,24.045,19.128,21.702,2.343
2026-04-03 16:20:16.808,19.147,24.352,19.128,21.702,2.65
2026-04-03 16:20:17.905,19.094,24.651,19.128,21.702,2.949
2026-04-03 16:20:19.002,19.018,24.949,19.128,21.702,3.249
2026-04-03 16:20:20.092,18.918,25.259,19.128,21.702,3.563
2026-04-03 16:20:21.190,18.723,25.752,19.128,21.702,4.07
2026-04-03 16:20:22.281,18.577,26.086,19.128,21.702,4.418
2026-04-03 16:20:23.376,18.388,26.308,19.128,21.702,4.665
2026-04-03 16:20:24.468,18.13,26.456,19.128,21.702,4.857
2026-04-03 16:20:25.564,17.847,26.53,19.128,21.702,4.996
2026-04-03 16:20:26.656,17.404,26.542,19.128,21.702,5.138
2026-04-03 16:20:27.754,17.109,26.511,19.128,21.702,5.216
2026-04-03 16:20:28.839,16.772,26.47,19.128,21.702,5.318
2026-04-03 16:20:29.934,16.364,26.416,19.128,21.702,5.465
2026-04-03 16:20:31.031,15.988,26.37,19.128,21.702,5.626
2026-04-03 16:20:32.125,15.559,26.326,19.128,21.702,5.841
2026-04-03 16:20:33.217,15.261,26.307,19.128,21.702,6.013
2026-04-03 16:20:34.317,14.965,26.295,19.128,21.702,6.198
2026-04-03 16:20:35.411,14.666,26.285,19.128,21.702,6.397
2026-04-03 16:20:36.495,14.337,26.279,19.128,21.702,6.626

Avg error: 2.457m | Max error: 6.626m
